25,2207988,2046817,1802222,122541,1842325,133321,1420354,22757,50595,527,161171,1931066,9542,1921524,1709678,228125,1597541,150038,276922,240789,1526,150130,89133,885150,5714,736165,143271,1082049,2302,1035229,44518,2020,MINNESOTA
26,1116649,965947,717009,44634,890466,171363,570822,11070,25301,223,150702,849925,3124,846801,758328,212536,559158,116468,266724,251951,620,133940,117391,528643,1675,405459,121509,336055,829,307402,27824,2020,MISSISSIPPI
27,2440212,2213727,1833201,135264,1994552,235186,1432489,24641,51994,464,226485,2037219,7951,2029268,1811328,320113,1566971,211642,402993,370050,1713,223695,144642,1150779,4779,938119,207881,919383,1459,867454,50470,2020,MISSOURI
28,436048,394771,344357,31353,342516,27350,258200,5662,8591,45,41277,366314,3135,363179,307296,47197,285603,39214,69734,65646,633,40419,24594,210694,1823,172789,36082,159708,679,149971,9058,2020,MONTANA
29,766663,701638,600248,43550,627670,55948,481690,8979,17970,186,65025,659433,3427,656006,578991,82222,537154,53545,107230,97473,599,61035,35839,352633,1984,293948,56701,316557,844,301023,14690,2020,NEBRASKA
30,1130011,1058007,902399,52554,973537,97187,698813,7751,41460,259,72004,968942,2554,966388,861041,119200,811265,85116,161069,150862,460,99540,50862,513232,1605,428530,83097,465917,489,438318,27110,2020,NEVADA
31,539116,505000,455646,36597,442711,24869,355487,5722,14489,151,34116,480851,2022,478829,407763,36717,430625,17911,58265,53636,274,33943,19419,205598,1236,175045,29317,279882,512,269841,9529,2020,NEW HAMPSHIRE
32,3272054,3040126,2686127,159735,2778270,202829,2139970,30704,79063,420,231928,2884202,7612,2876590,2599581,286562,2538875,127296,387852,360314,1155,223974,135185,1099654,3901,912288,183465,1812086,2556,1740328,69202,2020,NEW JERSEY
33,792755,698146,569067,42996,626917,85768,436041,7335,27480,207,94609,620675,3427,617248,525380,96938,475555,70464,172080,155538,513,86688,68337,372573,1883,287603,83087,264644,1031,242957,20656,2020,NEW MEXICO
34,7417224,6754292,5830660,399591,6083146,525215,4578488,82008,220292,2530,662932,6340640,19665,6320975,5489525,730009,5442724,292583,1076584,1116195,3635,699169,413391,2747089,10867,2247280,488942,3553940,5163,3374526,174251,2020,NEW YORK
35,4031592,3657447,3082094,198753,3324781,363069,2409499,38995,96865,907,374145,3374563,10300,3364263,2928423,416094,2808735,252423,657029,638203,1776,379733,256694,1876734,6578,1543845,326311,1516655,1946,1440685,74024,2020,NORTH CAROLINA
36,320873,292964,251645,17452,263794,23132,198552,3433,6642,58,27909,267270,772,266498,234221,29083,229233,17082,53603,43395,74,24885,18436,138061,455,112287,25319,139417,243,129326,9848,2020,NORTH DAKOTA
37,4717226,4276409,3572503,272830,3809561,408636,2852388,56523,103381,1311,440817,4003564,15151,3988413,3472085,492944,3321098,288305,713662,735062,2663,463634,268765,2176571,9383,1801865,365323,1805593,3105,1722914,79574,2020,OHIO
38,1493569,1352894,1064801,66834,1246160,193475,836964,12678,39898,261,140675,1223957,3794,1220163,1087195,243304,878462,136769,269612,241823,746,146024,95053,729016,2255,585663,141098,522730,793,488476,33461,2020,OKLAHOMA
39,1642579,1545561,1366123,93083,1395658,102593,1048239,13116,38253,454,97018,1452727,6377,1446350,1290106,164690,1202538,110397,189852,214795,1213,148201,65381,709515,3785,609674,96056,718269,1379,688475,28415,2020,OREGON
40,5106601,4573026,3916591,324105,4022251,370650,3072187,63934,114809,1235,533575,4313011,21968,4291043,3736917,495743,3670382,216703,793590,726329,3965,438905,283459,2199806,13266,1774010,412530,2180466,4737,2078128,97601,2020,PENNSYLVANIA
41,414730,375980,323796,23794,335060,27228,260463,5186,9321,93,38750,359855,863,358992,319832,41449,311010,12743,54875,60621,133,37547,22941,158674,501,133496,24677,195435,229,187949,7257,2020,RHODE ISLAND
42,1961481,1769828,1442444,91822,1612657,206924,1153451,19794,75686,441,191653,1597757,4449,1593308,1409669,240037,1276399,146837,363724,332667,844,189164,142659,921876,2870,740014,178992,706938,735,664130,42073,2020,SOUTH CAROLINA
43,347878,313834,267539,22379,276151,25788,206564,4118,7740,73,34044,290845,1254,289591,242490,34037,241596,20775,57033,47046,303,27337,19406,164502,646,134409,29447,136330,305,127845,8180,2020,SOUTH DAKOTA
44,2639455,2352354,1912380,124176,2142263,277404,1542439,25890,78725,975,287101,2157504,5768,2151736,1894687,346059,1695507,180203,481951,439361,1116,250132,188113,1253990,3582,1008699,241709,946104,1070,892905,52129,2020,TENNESSEE
45,9906070,9187393,7559242,337409,8637101,1084179,6092114,62881,286765,1837,718677,8446082,17450,8428632,7630828,1353312,6620962,880002,1459988,1377522,3335,850551,523636,4272683,10028,3532503,730152,4255865,4087,4045578,206200,2020,TEXAS
46,1003345,964342,878242,36140,901830,49408,717240,5597,26888,187,39003,898996,2821,896175,807545,88068,754886,95718,104349,92066,550,62232,29284,415402,1704,359338,54360,495877,567,474605,20705,2020,UTAH
47,262852,239892,214449,24052,199062,12577,157532,4007,4613,22,22960,220021,1950,218071,166836,19161,187147,14718,42831,35943,543,21039,14361,115433,993,92945,21495,111476,414,104087,6975,2020,VERMONT
48,3184121,2939714,2567878,150036,2686158,226313,2059647,27200,95194,547,244407,2749042,9022,2740020,2465746,346202,2261509,194335,435079,360701,1313,217021,142367,1204720,5037,979316,220367,1618700,2672,1543683,72345,2020,VIRGINIA
49,2905822,2755772,2466718,143443,2522608,162899,1946166,20881,75492,681,150050,2626064,8175,2617889,2365339,256881,2257415,167090,279758,307371,1770,216807,88794,1109162,4364,962865,141933,1489289,2041,1438217,49031,2020,WASHINGTON
50,734235,632566,503546,52901,536203,71526,400508,14592,12975,252,101669,581748,2608,579140,461933,73959,471765,47842,152487,150957,540,88726,61691,359256,1502,281963,75791,224022,566,208451,15005,2020,WEST VIRGINIA
51,2377935,2157295,1855093,149037,1902247,170959,1440621,27730,55348,894,220640,2025923,12012,2013911,1766213,262805,1634612,165075,352012,307899,1907,187739,118253,1077647,7517,881592,188538,992389,2588,944580,45221,2020,WISCONSIN
52,233231,217146,187778,14066,193692,16873,144370,2423,4482,100,16085,201133,771,200362,162725,24731,156867,24698,32098,30408,142,19426,10840,101012,387,85296,15329,101811,242,95640,5929,2020,WYOMING
2,1867893,1597441,1273184,119052,1409323,193867,989023,20241,53030,1388,270452,1435126,8072,1427054,1157122,265578,1068389,142134,432767,379632,1617,196830,181185,872051,4468,660901,206682,616210,1987,569323,44900,2019,ALABAMA
3,253346,238412,205730,13937,216076,17965,160713,1672,17732,109,14934,217721,1012,216709,180828,33916,172892,13454,35625,25917,186,14977,10754,96555,474,78475,17606,130874,352,123257,7265,2019,ALASKA
4,2571268,2357063,2051939,172876,2092286,176145,1548327,18674,87717,1115,214205,2170445,8771,2161674,1718102,270084,1772715,211799,400823,380244,1808,233142,145294,1191486,5278,981314,204894,999538,1685,947218,50635,2019,ARIZONA
5,1158071,998207,781724,76385,881907,133739,601849,10289,30415,686,159864,851047,5081,845966,673681,176760,597204,97674,307024,230688,1177,114742,114769,582877,2885,424800,155192,344506,1019,306424,37063,2019,ARKANSAS
6,13044266,12131484,10714889,692431,11032043,782369,8305895,82284,609554,7932,912782,11341025,37461,11303564,9330500,1187243,9645405,952668,1703241,1634851,7804,1032813,594234,4869050,18184,4029676,821190,6540365,11473,6241075,287817,2019,CALIFORNIA
7,2148994,2017102,1816117,131916,1812805,111153,1368597,13117,68084,1050,131892,1891255,8135,1883120,1535528,180294,1605990,160732,257739,242899,1446,158572,82881,865820,4548,728209,133063,1040275,2141,996339,41795,2019,COLORADO
8,1370746,1244770,1105785,99529,1088196,70478,839157,13129,49626,897,125976,1177430,5086,1172344,913461,98926,1049341,47287,193316,162997,768,96781,65448,495947,2550,396965,96432,711802,1768,678598,31436,2019,CONNECTICUT
9,363322,332764,280752,24932,293006,26380,218907,3284,11751,390,30558,309672,1020,308652,247342,29578,270419,13972,53650,44392,204,28149,16039,153616,584,124098,28934,165314,232,156405,8677,2019,DELAWARE
10,284386,260932,228865,12573,240480,19078,176797,1745,8501,117,23454,235534,564,234970,199039,21161,208755,9452,48852,46230,62,25348,20820,81136,332,61683,19121,157020,170,147939,8911,2019,WASHINGTON DC
11,7736311,7080989,6168121,538444,6246701,521923,4609315,63636,315235,5394,655322,6444568,24324,6420244,5053599,709367,5502890,418103,1291743,1211785,4977,740983,465825,3684560,14675,3015349,654536,2839966,4672,2663912,171382,2019,FLORIDA
12,3758798,3391152,2887904,208325,3059741,288233,2258579,29553,132901,1799,367646,3066661,9442,3057219,2478182,390527,2531409,262972,692137,598380,1931,334439,262010,1690660,5105,1341982,343573,1469758,2406,1380798,86554,2019,GEORGIA
13,459424,419052,369591,28658,373966,25431,290761,4018,13325,212,40372,390983,1423,389560,321628,37685,343423,16363,68441,50029,187,29431,20411,162002,742,128856,32404,247393,494,231273,15626,2019,HAWAII
14,630008,578230,510538,51146,500459,35857,384230,5145,17554,294,51778,524892,3855,521037,416839,66717,402681,71024,105116,93621,465,56462,36694,313737,2449,255512,55776,222650,941,209063,12646,2019,IDAHO
15,4846134,4354417,3761192,308448,3872493,331974,2883555,38914,178926,3330,491717,4025820,17626,4008194,3263997,495036,3328261,309256,820314,690284,2975,393092,294217,1993464,9719,1575074,408671,2162386,4932,2040028,117426,2019,ILLINOIS
16,2570419,2279081,1917214,190055,1984029,200164,1460708,25314,70353,1736,291338,2071909,12358,2059551,1626828,290965,1639278,186375,498510,391220,2067,220570,168583,1240240,7366,963878,268996,938959,2925,875103,60931,2019,INDIANA
17,1265473,1126634,967859,99886,970981,86346,728685,13155,30616,1081,138839,1030620,8132,1022488,811700,140285,812697,98428,234853,176539,1309,97720,77510,588810,4960,459547,124303,500124,1863,465221,33040,2019,IOWA
18,1129227,1016265,871808,84162,888888,80484,657933,9790,29629,584,112962,928405,4381,924024,744471,117469,752313,75481,200822,160041,796,91355,67890,528080,2661,418261,107158,441106,924,414408,25774,2019,KANSAS
19,1734618,1499091,1228994,121304,1301944,146023,966185,21954,53243,1068,235527,1367437,7033,1360404,1083273,196712,1089320,114816,367181,342025,1327,184081,156617,823959,4344,645173,174442,568634,1362,531150,36122,2019,KENTUCKY
20,1739497,1488736,1177660,95632,1337184,190312,906603,15359,53530,929,250761,1317971,5049,1312922,1035499,208324,1023177,135836,421526,376046,1059,188413,186574,781054,2570,588221,190263,582397,1420,536288,44689,2019,LOUISIANA
21,559921,502355,446082,60829,407194,24901,325069,7171,15235,414,57566,464008,4437,459571,336503,40407,400151,24074,95913,88893,789,49738,38366,258810,2865,208770,47175,212218,783,201063,10372,2019,MAINE
22,2205204,2036838,1825376,136581,1817221,112414,1422067,16734,97136,1107,168366,1911957,6364,1905593,1557954,188020,1665962,94594,293247,226798,846,136047,89905,755370,3501,605092,146777,1223036,2017,1164454,56565,2019,MARYLAND
23,2617497,2391993,2145606,188809,2093721,122400,1627277,25949,84202,1768,225504,2268472,7215,2261257,1808960,181187,2042062,67805,349025,343438,1391,208923,133124,880135,3900,714785,161450,1393924,1924,1337549,54451,2019,MASSACHUSETTS
24,3935041,3525247,2997119,290296,3062206,291011,2284785,42151,105912,2887,409794,3224655,15818,3208837,2527194,429751,2599404,249111,710386,617926,2822,356937,258167,1831508,10098,1451402,370008,1485607,2898,1400498,82211,2019,MICHIGAN
25,2185603,2001473,1781344,157843,1753520,112234,1350676,19991,63682,1439,184130,1865675,12296,1853379,1498487,211046,1546336,142233,319928,249437,1908,145887,101642,895197,7265,719604,168328,1040969,3123,987888,49958,2019,MINNESOTA
26,1104394,925656,697609,59959,832904,142935,547955,10251,30380,539,178738,793784,3747,790037,642703,190792,525502,105614,310610,255909,827,120824,134258,528971,1972,381384,145615,319514,948,287829,30737,2019,MISSISSIPPI
27,2414521,2150008,1808532,176685,1880310,192644,1370926,22380,69651,1488,264513,1947235,10447,1936788,1566198,290078,1510899,190947,467286,382810,2148,212097,168565,1156157,6123,907788,242246,875554,2176,816903,56475,2019,MISSOURI
28,427871,380587,335060,41326,317957,22294,242879,4947,9739,247,47284,348515,3353,345162,260132,40522,275252,36480,79356,67837,650,38730,28457,208953,1909,165919,41125,151081,794,140513,9774,2019,MONTANA
29,759176,683587,593159,57745,594141,46747,454069,7366,22057,435,75589,636709,3847,632862,504529,76589,520670,49354,122467,101411,682,59231,41498,352045,2174,284789,65082,305720,991,288842,15887,2019,NEBRASKA
30,1098602,1015842,872984,67420,909817,81877,659012,7455,51348,637,82760,917041,3258,913783,730461,106472,772097,76601,181561,152272,546,93437,58289,510646,2055,414019,94572,435684,657,406327,28700,2019,NEVADA
31,532037,494980,451375,51226,417747,20275,333653,4785,19571,351,37057,468993,2196,466797,355854,33344,421834,18145,63044,54117,284,33288,20545,206041,1360,172307,32374,271879,552,261202,10125,2019,NEW HAMPSHIRE
32,3231874,2955487,2638081,208417,2627392,165855,2022603,26757,108767,2674,276387,2783089,9280,2773809,2221633,235709,2488271,110771,448785,374285,1519,217855,154911,1113242,4798,891135,217309,1744347,2963,1664819,76565,2019,NEW JERSEY
33,780249,669996,554690,55240,584263,70841,412228,6871,29214,510,110253,586734,4660,582074,451833,89322,451423,60941,193515,157013,848,79808,76357,370770,2304,274435,94031,252466,1508,227831,23127,2019,NEW MEXICO
34,7343234,6581493,5762582,525649,5755220,430965,4346531,71277,313675,5981,761741,6106323,23040,6083283,4664412,609586,5327820,263758,1236911,1152766,4196,670919,477651,2776645,12418,2199397,564830,3413823,6426,3212967,194430,2019,NEW YORK
35,3965482,3535121,3008798,260047,3122647,302637,2295291,36342,129997,2222,430361,3215635,13520,3202115,2530530,378400,2690002,231403,749847,656388,2407,360026,293955,1877763,8169,1491493,378101,1431331,2944,1350596,77791,2019,NORTH CAROLINA
36,318322,285796,248563,23000,249722,19696,190020,3150,8429,171,32526,257877,1063,256814,205992,26364,221145,16849,60445,43855,113,23443,20299,135748,642,106057,29049,138719,308,127314,11097,2019,NORTH DAKOTA
37,4676358,4165608,3529984,353985,3604668,339443,2723922,50695,131597,3348,510750,3853613,18753,3834860,3018360,452108,3212944,265418,822745,758403,3536,442337,312530,2175704,11552,1743086,421066,1742251,3665,1649437,89149,2019,OHIO
38,1480061,1311303,1048401,88778,1175779,159577,811400,12086,56956,799,168758,1168521,4468,1164053,957138,224646,842844,126983,311540,256144,943,141530,113671,720009,2593,559020,158396,503908,932,463503,39473,2019,OKLAHOMA
39,1611982,1499082,1337457,123515,1312255,84365,990264,11955,46379,1062,112900,1392333,7247,1385086,1132745,150111,1154950,107356,219649,224784,1403,146107,77274,714585,4211,598522,111852,672613,1633,640457,30523,2019,OREGON
40,5053106,4445625,3860351,423128,3787391,306773,2900091,55937,146814,2735,607481,4146164,27458,4118706,3222068,425625,3572229,197314,906942,756251,4993,425849,325409,2209157,16047,1720447,472663,2087698,6418,1972410,108870,2019,PENNSYLVANIA
41,410489,365930,319069,30740,317206,22951,247379,4603,12409,220,44559,345829,1163,344666,275295,35241,303295,11673,64660,64341,306,36930,27105,160983,667,130541,29775,185165,190,177195,7780,2019,RHODE ISLAND
42,1921862,1697422,1401312,117986,1506606,172822,1085039,18404,93800,1206,224440,1508818,5887,1502931,1206972,211840,1217284,128714,413044,338691,1166,175529,161996,917887,3513,709395,204979,665284,1208,618007,46069,2019,SOUTH CAROLINA
43,344397,304828,264356,29966,258197,20216,196448,3528,9676,330,39569,279329,1551,277778,210013,31619,231947,19679,65068,48762,322,25882,22558,165010,846,130350,33814,130625,383,121546,8696,2019,SOUTH DAKOTA
44,2597292,2261717,1865854,165161,2002056,229656,1457201,23566,97936,1391,335575,2043089,7760,2035329,1637289,310231,1616499,168194,554203,451396,1456,234565,215375,1247629,4912,963630,279087,898267,1392,837134,59741,2019,TENNESSEE
45,9691647,8817279,7307635,462148,8079130,919641,5752580,62516,377324,4445,874368,7961166,24013,7937153,6559192,1247250,6238848,790182,1730481,1398693,4378,790477,603838,4261558,13299,3360497,887762,4031396,6336,3786179,238881,2019,TEXAS
46,977313,931382,849665,47977,851403,43125,673735,5190,29962,295,45931,858876,3695,855181,702868,84824,714642,92142,118437,95848,676,61585,33587,416330,2142,351877,62311,465135,877,441719,22539,2019,UTAH
47,260029,233725,211092,30074,187024,10262,148556,3556,7328,186,26304,213861,1893,211968,141987,16756,184458,13522,46168,37101,328,21294,15479,116162,1101,91255,23806,106766,464,99419,6883,2019,VERMONT
48,3151045,2871743,2535580,195500,2561076,190276,1962519,22449,117706,1520,279302,2656131,11554,2644577,2178746,308313,2204910,183953,494914,377509,1629,211007,164873,1211951,6675,953801,251475,1561585,3250,1479769,78566,2019,VIRGINIA
49,2848396,2671876,2412744,189186,2377911,135183,1835542,19181,99676,1473,176520,2525901,9716,2516185,2094906,235439,2177647,156132,322495,321410,1930,213392,106088,1123637,5304,953690,164643,1403349,2482,1349103,51764,2019,WASHINGTON
50,732585,616666,502924,68617,504393,58517,380829,12511,20263,519,115919,559747,3058,556689,396246,65052,459332,45678,172838,155728,625,84675,70428,361889,1666,274063,86160,214968,767,197951,16250,2019,WEST VIRGINIA
51,2358156,2107224,1836583,196955,1799391,142897,1374232,23988,63326,1734,250932,1960079,14315,1945764,1543608,238926,1594001,156423,398077,314992,2106,181943,130943,1086452,8920,861049,216483,956712,3289,902772,50651,2019,WISCONSIN
52,230101,211299,184849,18128,183213,13813,137965,2135,6119,134,18802,193139,1133,192006,139121,22803,150256,23167,36962,30050,124,18106,11820,101541,580,82398,18563,98510,429,91502,6579,2019,WYOMING
2,1860269,1551296,1271176,159860,1318440,150961,950671,17875,62584,1691,308973,1373714,9396,1364318,992262,227399,1049454,127721,486555,395029,1980,189002,204047,881918,5219,641726,234973,583322,2197,533590,47535,2018,ALABAMA
3,253462,236598,208835,18488,207707,13623,156966,1466,19996,177,16864,214890,1188,213702,164399,29838,173443,13041,38572,25801,197,14224,11380,98166,524,78294,19348,129495,467,121184,7844,2018,ALASKA
4,2524300,2269063,2010742,228761,1941435,135117,1451254,15978,97767,1559,255237,2074996,10605,2064391,1470503,236143,1713499,196515,449304,399535,2122,231353,166060,1199494,6473,963165,229856,925271,2010,869873,53388,2018,ARIZONA
5,1152175,969432,783681,100216,826997,102143,581266,8989,36089,989,182743,811029,6394,804635,574254,156185,579440,89939,341146,238574,1347,108431,128796,588575,3810,411594,173171,325026,1237,284610,39179,2018,ARKANSAS
6,12965435,11886064,10643437,930415,10469892,605877,7954613,74656,744795,12726,1079371,11032304,50736,10981568,8186285,1054391,9464180,872783,1933131,1729940,10730,1039745,679465,5040245,25599,4065750,948896,6195250,14407,5876073,304770,2018,CALIFORNIA
7,2113387,1962259,1784750,171728,1709320,87798,1297222,11818,83742,1493,151128,1822635,11477,1811158,1338181,162887,1548988,154490,290752,254215,1888,158070,94257,886460,6360,728326,151774,972712,3229,924762,44721,2018,COLORADO
8,1367374,1224654,1106700,126812,1034467,53575,803123,11559,65363,1356,142720,1151633,5729,1145904,790598,80064,1042171,45217,215741,167991,1041,92959,73991,507516,2762,396283,108471,691867,1926,656662,33279,2018,CONNECTICUT
9,357765,321643,276835,33208,272535,20541,207202,2907,13742,579,36122,296341,1414,294927,207604,24122,262712,12953,61424,45160,242,26653,18265,156250,780,121862,33608,156355,392,146412,9551,2018,DELAWARE
10,281322,252564,224575,15468,227696,15423,168596,1597,10462,183,28758,225785,703,225082,173470,18146,201713,9135,55537,48000,78,23578,24344,83165,396,61051,21718,150157,229,140453,9475,2018,WASHINGTON DC
11,7621760,6844107,6074481,719259,5803630,396202,4339197,55747,357137,7446,777653,6188044,32015,6156029,4276175,593733,5367439,375168,1433716,1270376,6228,738719,525429,3717863,19609,2965190,733064,2633521,6178,2452120,175223,2018,FLORIDA
12,3709488,3287853,2849294,275472,2874534,223180,2145312,25901,160604,3042,421635,2944379,12358,2932021,2133801,340531,2462137,239365,765109,629333,2581,331622,295130,1708307,6927,1319364,382016,1371848,2850,1281035,87963,2018,GEORGIA
13,456782,411022,370121,36902,355441,19201,276392,3589,17113,365,45760,382400,1856,380544,286285,32565,339602,15365,74382,52008,324,28866,22818,167178,898,130451,35829,237596,634,221227,15735,2018,HAWAII
14,618331,557848,501300,68200,461649,26548,356763,4431,20116,368,60483,497629,4674,492955,352921,58756,381628,67478,120702,97925,649,55165,42111,316821,3013,248759,65049,203585,1012,189031,13542,2018,IDAHO
15,4830038,4264785,3757925,404624,3666958,255313,2761257,34382,215456,4856,565253,3913465,22253,3891212,2877525,434652,3274374,290748,916573,719626,3498,385493,330635,2042635,12547,1569822,460266,2067777,6208,1935897,125672,2018,ILLINOIS
16,2553818,2226068,1915891,248751,1864900,154014,1396278,22227,87657,2327,327750,1996388,15678,1980710,1389881,251246,1602226,174962,557430,409304,2678,214329,192297,1259390,9511,947829,302050,885124,3489,818552,63083,2018,INDIANA
