17,1256855,1101435,969050,131610,912757,65193,694465,10715,37952,1441,155420,1000292,9856,990436,703700,122884,797209,95176,256563,183184,1460,96610,85114,596511,6099,452781,137631,477160,2297,441045,33818,2018,IOWA
18,1124549,994601,870880,109167,839629,61433,630472,8652,36022,873,129948,900884,5297,895587,647714,103777,738939,70151,223665,166512,940,90422,75150,538264,3111,413854,121299,419773,1246,391311,27216,2018,KANSAS
19,1728681,1458107,1226898,157172,1223092,112569,920717,18263,63525,1629,270574,1314687,9056,1305631,940098,168631,1063748,108975,413994,358502,1716,178879,177907,835913,5564,632007,198342,534266,1776,494745,37745,2018,KENTUCKY
20,1736021,1449635,1183086,126885,1259374,144656,883343,13568,68548,1174,286386,1270391,7137,1263254,890390,180171,1006034,119899,465630,382988,1447,177008,204533,794783,3897,577996,212890,558250,1793,508250,48207,2018,LOUISIANA
21,556955,492145,446310,79180,379742,18885,303295,5552,18947,733,64810,450622,5220,445402,286187,34089,393287,22930,106333,94491,1065,50195,43231,262962,3316,207375,52271,199502,839,187832,10831,2018,MAINE
22,2192518,2001671,1817401,173632,1736801,87532,1352468,14097,120139,1622,190847,1864111,8461,1855650,1356539,160228,1642142,89674,328407,232484,1176,131547,99761,781096,4591,607928,168577,1178938,2694,1116175,60069,2018,MARYLAND
23,2601914,2345531,2138862,240349,1988777,92609,1549500,21507,106266,2447,256383,2212749,9230,2203519,1571826,148941,2015702,66946,389165,358727,1783,206823,150121,910822,4999,724535,181288,1332365,2448,1272161,57756,2018,MASSACHUSETTS
24,3909509,3442305,2993928,379837,2884298,223744,2180610,35683,124446,4096,467204,3106914,20335,3086579,2177437,367920,2542692,234393,802595,646984,3347,347222,296415,1856842,12953,1425439,418450,1405683,4035,1313918,87730,2018,MICHIGAN
25,2167801,1958599,1773623,204715,1658149,84083,1284907,16887,76653,1986,209202,1811732,15028,1796704,1310868,185768,1513497,137420,356069,260756,2347,143574,114835,918775,8931,721808,188036,988270,3750,931322,53198,2018,MINNESOTA
26,1105576,901172,702774,80947,783209,110706,536769,9624,37849,730,204404,756863,5211,751652,546985,163567,517554,97350,348713,263821,1039,113837,148945,536661,2811,368138,165712,305094,1361,269677,34056,2018,MISSISSIPPI
27,2396271,2091864,1800534,232777,1760343,147141,1306965,19899,79366,2474,304407,1872545,13456,1859089,1352386,252585,1473093,178869,523726,399573,2508,207017,190048,1169451,8097,887657,273697,827247,2851,764415,59981,2018,MISSOURI
28,423240,369326,331972,55280,293277,16834,226113,3941,10824,337,53914,334450,3734,330716,216518,34600,267379,34731,88790,70918,668,38196,32054,212080,2178,163895,46007,140242,888,128625,10729,2018,MONTANA
29,754063,667596,590756,75685,558866,36762,427921,6003,26915,660,86467,615347,4601,610746,435256,67759,507900,46704,138716,105010,807,57627,46576,359743,2632,281916,75195,289310,1162,271203,16945,2018,NEBRASKA
30,1075930,980878,856822,88778,848432,62434,626460,6632,57050,940,95052,879563,4568,874995,627159,95269,742811,72088,196367,155144,632,90414,64098,518600,2956,411252,104392,402186,980,373329,27877,2018,NEVADA
31,528078,486930,451013,68249,391179,14961,313189,3943,23727,531,41148,457944,2501,455443,305039,27668,415923,18311,70134,56157,332,33126,22699,211068,1577,172905,36586,260853,592,249412,10849,2018,NEW HAMPSHIRE
32,3213362,2896471,2624125,266324,2498266,126824,1933834,22580,139209,3923,316891,2713558,11550,2702008,1896098,188554,2463273,101444,499804,390310,1619,215425,173266,1143053,6070,891839,245144,1679999,3861,1594744,81394,2018,NEW JERSEY
33,775651,649937,551675,74871,542865,53972,391848,6033,30802,843,125714,566165,5085,561080,391682,80983,439402,56829,209486,164003,939,78432,84632,371068,2553,266727,101788,240580,1593,215921,23066,2018,NEW MEXICO
34,7316537,6456229,5762918,687662,5448924,331811,4137617,59671,386747,8712,860308,5944262,27920,5916342,3976245,490278,5282397,247734,1372275,1196574,5280,661265,530029,2859582,15146,2209300,635136,3260381,7494,3045777,207110,2018,NEW YORK
35,3918597,3424443,2974311,340826,2921871,231968,2180577,31907,157465,3015,494154,3083649,17214,3066435,2182455,335926,2602290,214559,834948,686212,2973,351467,331772,1896231,10336,1462118,423777,1336154,3905,1252850,79399,2018,NORTH CAROLINA
36,314903,278839,248300,30416,234906,14740,179868,2593,9757,233,36064,249972,1274,248698,179389,22963,216342,16210,64931,44449,202,22816,21431,137519,694,105348,31477,132935,378,120534,12023,2018,NORTH DAKOTA
37,4654075,4068830,3523158,459817,3396596,262698,2592820,43304,155504,4483,585245,3734608,24356,3710252,2620072,403485,3140334,245483,919467,794331,4741,433392,356198,2204674,14721,1719289,470664,1655070,4894,1557571,92605,2018,OHIO
38,1474620,1278772,1050681,117697,1107308,120970,791309,11151,71247,1396,195848,1123229,6022,1117207,836370,198142,824060,118997,351391,264865,1103,135656,128106,729163,3560,545605,179998,480592,1359,435946,43287,2018,OKLAHOMA
39,1591835,1461755,1321567,162082,1231782,66281,937382,10534,51191,1363,130080,1344359,8667,1335692,994296,136488,1119336,103077,247476,239664,1782,148321,89561,729100,5068,597263,126769,623071,1817,590108,31146,2018,OREGON
40,5025132,4344824,3848191,546701,3560337,235564,2741108,46475,173111,4381,680308,4014061,33042,3981019,2759928,353303,3509566,182428,1011071,786508,5905,413597,367006,2253409,19609,1705555,528245,1985215,7528,1861867,115820,2018,PENNSYLVANIA
41,410885,360113,319959,39527,302061,17359,236514,3777,14661,411,50772,337669,1569,336100,236673,29030,301333,10640,73216,68359,407,37154,30798,167073,878,132455,33740,175453,284,166491,8678,2018,RHODE ISLAND
42,1894711,1633709,1380649,156005,1400019,133309,1025423,15997,106632,1971,261002,1435645,8018,1427627,1026209,179147,1176644,116475,459066,350526,1447,166883,182196,928232,4848,693124,230260,615953,1723,567620,46610,2018,SOUTH CAROLINA
43,341565,296335,262954,39457,239810,15296,183449,2916,12227,441,45230,268325,1888,266437,180738,27342,224701,18905,73240,51299,335,25582,25382,166788,1031,127033,38724,123478,522,113822,9134,2018,SOUTH DAKOTA
44,2567061,2185963,1845754,217689,1866243,175654,1383226,20909,111171,1908,381098,1946113,11214,1934899,1406307,273457,1556576,156012,620948,474884,2164,228232,244488,1259201,7139,937354,314708,832976,1911,769313,61752,2018,TENNESSEE
45,9553046,8525218,7208368,615002,7580422,718165,5501551,59372,448833,7350,1027828,7606748,32581,7574167,5666347,1117690,6002201,735784,1946298,1455889,6296,761979,687614,4291051,17728,3264959,1008364,3806106,8557,3547229,250320,2018,TEXAS
46,957619,903951,832235,64774,801802,34212,633637,4517,33788,505,53668,824895,4531,820364,604741,76356,686848,88024,132724,100117,961,61241,37915,427296,2458,353507,71331,430206,1112,405616,23478,2018,UTAH
47,259589,230736,211971,38158,176527,7670,140717,2632,9821,286,28853,210074,1992,208082,121676,13872,184089,12775,49515,38386,405,20933,17048,118827,1161,92195,25471,102376,426,94954,6996,2018,VERMONT
48,3128415,2811441,2524905,256763,2427717,145922,1867871,19405,138316,2623,316974,2580111,14950,2565161,1912841,270528,2164027,172826,548304,393096,2099,206583,184414,1236015,8675,947237,280103,1499304,4176,1411341,83787,2018,VIRGINIA
49,2800423,2595537,2375587,247214,2232145,103686,1727870,16737,122256,2326,204886,2434213,12638,2421575,1840576,209140,2108006,148746,366210,339613,2309,215059,122245,1150587,7170,954452,188965,1310223,3159,1252064,55000,2018,WASHINGTON
50,734676,601224,507602,88047,471953,43521,361430,9566,25574,849,133452,539497,3698,535799,337453,54525,450143,43917,195179,160651,750,80314,79587,371207,2076,270977,98154,202818,872,184508,17438,2018,WEST VIRGINIA
51,2343129,2061845,1834832,258355,1691181,110047,1302737,19517,70095,2511,281284,1900137,17112,1883025,1333735,212714,1561965,145742,442992,330619,2688,180295,147636,1108920,10486,856287,242147,903590,3938,846443,53209,2018,WISCONSIN
52,230630,209397,186229,24523,173875,10649,132663,1970,7183,191,21233,188389,1386,187003,118161,20013,147991,21988,42241,31222,130,18287,12805,104599,779,81593,22227,94809,477,87123,7209,2018,WYOMING
2,1856695,1511468,1276283,214778,1224108,111190,895396,15217,68078,1957,345227,1315494,12516,1302978,833798,190012,1032992,110979,541201,408611,2269,181083,225259,898496,7550,625894,265052,549588,2697,496001,50890,2017,ALABAMA
3,252536,233425,211097,24546,197611,9399,150638,1180,22480,273,19111,210684,1448,209236,146086,24732,173924,12679,41852,25501,184,13127,12190,98882,654,77317,20911,128153,610,118792,8751,2017,ALASKA
4,2482311,2190319,1975438,306533,1779593,99359,1333545,13575,106583,2217,291992,1984786,13341,1971445,1230372,197714,1663690,179884,497525,420135,2703,230028,187404,1201605,8240,937998,255367,860571,2398,803419,54754,2017,ARIZONA
5,1147291,940100,784196,133894,762492,73910,550939,8293,38054,1207,207191,773515,8773,764742,476085,132716,567400,82708,373776,250212,1935,104842,143435,594197,5215,399308,189674,302882,1623,260592,40667,2017,ARKANSAS
6,12888128,11624493,10572087,1274442,9812982,451320,7454449,62990,834156,15468,1263635,10708603,68137,10640466,7024178,903444,9292907,783387,2179525,1835814,14512,1043855,777447,5193912,35714,4078026,1080172,5858402,17911,5518585,321906,2017,CALIFORNIA
7,2082531,1913892,1765143,228625,1598281,65479,1209244,9675,94189,1969,168639,1760603,14444,1746159,1151584,147218,1497662,147847,321928,265977,2497,157961,105519,904911,8056,726639,170216,911643,3891,861559,46193,2017,COLORADO
8,1361755,1201554,1106761,165522,969673,37186,748512,8924,75416,1828,160201,1124123,6674,1117449,672555,62942,1031478,42355,237632,172458,991,89865,81602,518524,3383,395041,120100,670773,2300,632543,35930,2017,CONNECTICUT
9,352357,311354,276451,43646,250865,14404,192764,2340,15462,620,41003,282455,1932,280523,167825,18646,254057,11590,69902,47210,376,25213,21621,158031,1058,118749,38224,147116,498,136561,10057,2017,DELAWARE
10,277985,245069,221515,20387,214416,11573,160160,1239,13892,259,32916,216694,1037,215657,150216,15302,195033,8542,61291,49176,147,22609,26420,86452,519,60732,25201,142357,371,132316,9670,2017,WASHINGTON DC
11,7510882,6614563,5981984,968027,5318492,285644,4001798,45377,376218,8814,896319,5945366,41996,5903370,3535023,477194,5244053,328461,1565516,1329333,8441,730802,590090,3738389,25473,2915748,797168,2443160,8082,2256820,178258,2017,FLORIDA
12,3663104,3188037,2821888,379921,2660630,162008,1997799,22215,176543,4011,475067,2829477,17081,2812396,1801234,286436,2406649,211313,833627,661097,3318,329581,328198,1726513,9819,1299630,417064,1275494,3944,1183185,88365,2017,GEORGIA
13,455502,405312,373133,48680,337020,13981,259633,2745,20239,458,50190,375435,2613,372822,250172,27831,337077,13744,80067,54070,453,28923,24694,173929,1209,133843,38877,227503,951,210056,16496,2017,HAWAII
14,609124,541670,495105,89597,424122,19692,325417,3412,20479,381,67454,476141,6054,470087,293128,52661,365151,62011,132983,102273,999,54179,47095,317738,3957,242557,71224,189113,1098,173351,14664,2017,IDAHO
15,4818452,4178390,3762550,549543,3426112,184468,2586193,28554,239347,5843,640062,3806191,29112,3777079,2485801,377178,3221458,271254,1012261,756216,4264,380500,371452,2081591,17156,1555068,509367,1980645,7692,1841511,131442,2017,ILLINOIS
16,2537189,2169022,1912406,332647,1721208,111403,1300186,18556,100170,3117,368167,1924615,21201,1903414,1162905,215374,1567606,157374,612574,428561,3690,207447,217424,1276175,12760,934349,329066,832453,4751,761618,66084,2017,INDIANA
17,1251587,1078394,973065,178563,842865,46113,643831,8126,43998,1878,173193,970584,12108,958476,596000,105446,785032,89507,281003,190447,1789,95173,93485,607459,7537,448713,151209,453681,2782,414590,36309,2017,IOWA
18,1121943,974916,873065,145900,782166,44201,589816,6645,39201,1060,147027,876189,6755,869434,553184,90616,726418,66754,245754,172597,1181,87718,83698,549006,4052,410732,134222,400340,1522,370984,27834,2017,KANSAS
19,1724514,1421295,1233286,210729,1134876,82792,855626,13365,71350,2035,303219,1267876,11452,1256424,800870,139396,1046527,101799,456638,376171,2211,175268,198692,843249,7089,616266,219894,505094,2152,464890,38052,2017,KENTUCKY
20,1737645,1417196,1194366,167963,1181471,105192,848524,11536,76388,1588,320449,1229301,9766,1219535,750479,151239,996118,106281,508344,396020,2137,169447,224436,800909,5425,562258,233226,540716,2204,487830,50682,2017,LOUISIANA
21,554061,481851,445516,103269,348419,13531,274602,3800,20720,782,72210,436178,5797,430381,236553,29235,383426,21991,117883,98104,1228,49648,47228,269851,3609,206776,59466,186106,960,173957,11189,2017,MAINE
22,2181093,1966652,1812240,229119,1639617,64900,1266182,11466,136455,1900,214441,1818026,11507,1806519,1159384,132899,1620652,82802,363067,239137,1514,126085,111538,804271,6303,610512,187456,1137685,3690,1069922,64073,2017,MARYLAND
23,2585715,2299279,2130940,315240,1866762,67787,1441024,16063,121693,3190,286436,2158489,11520,2146969,1346654,122896,1987136,63833,427226,373283,2143,204849,166291,932306,6537,725706,200063,1280126,2840,1216414,60872,2017,MASSACHUSETTS
24,3888646,3364712,2992993,505405,2682251,163070,2032865,28629,139822,5076,523934,2995068,28006,2967062,1836879,311519,2485829,215308,893578,682436,4499,341420,336517,1881927,18039,1399908,463980,1324283,5468,1225734,93081,2017,MICHIGAN
25,2153202,1919289,1769701,272706,1549159,60404,1195127,13037,86704,2255,233913,1758873,18944,1739929,1120520,162539,1480207,130000,394329,274769,2861,143548,128360,938699,11342,718354,209003,939734,4741,878027,56966,2017,MINNESOTA
26,1103514,872118,706001,107673,726329,80475,511776,8166,41328,958,231396,716598,7498,709100,453642,133894,509350,86874,386916,275318,1654,106920,166744,541056,4286,352336,184434,287140,1558,249844,35738,2017,MISSISSIPPI
27,2386203,2043379,1801843,309255,1635252,108220,1219579,15689,86940,3171,342824,1808499,17731,1790768,1144360,213973,1448360,163807,577704,419115,3229,202895,212991,1187871,10682,872860,304329,779217,3820,715013,60384,2017,MISSOURI
28,419975,361792,332499,72674,269720,12036,207133,2993,11764,369,58183,324090,4532,319558,176421,30124,261590,32509,95885,74682,898,38397,35387,212476,2661,160458,49357,132817,973,120703,11141,2017,MONTANA
29,748405,650350,587352,101282,516661,27556,393619,4387,29791,767,98055,593077,5712,587365,360448,58843,493606,44133,155328,109700,895,56087,52718,366704,3305,278396,85003,272001,1512,252882,17607,2017,NEBRASKA
30,1052249,943892,839354,118620,778591,46305,577901,5791,60168,1216,108357,840752,5914,834838,523233,84903,712405,65793,211497,159357,1010,87922,70425,521645,3761,405281,112603,371247,1143,341635,28469,2017,NEVADA
31,526710,480447,451742,88613,365134,11120,288447,3092,27413,625,46263,448573,2961,445612,257989,23282,411247,17501,78137,58553,364,33050,25139,218505,1770,174876,41859,249652,827,237686,11139,2017,NEW HAMPSHIRE
32,3199111,2844381,2618692,349689,2357019,93221,1815171,17697,158470,4275,354730,2653702,14904,2638798,1612100,146311,2445913,93135,545409,406614,2132,213214,191268,1169166,7531,893269,268366,1623331,5241,1532315,85775,2017,NEW JERSEY
33,770435,629179,547709,97792,498885,38396,367866,5106,34940,973,141256,544940,6379,538561,333107,70193,428643,54283,225495,168273,1236,75705,91332,371579,3407,257509,110663,230583,1736,205347,23500,2017,NEW MEXICO
34,7302710,6341493,5769337,906791,5108751,242663,3880711,46408,437823,10621,961217,5800278,35155,5765123,3334986,383974,5242229,233966,1502432,1242325,6504,649758,586063,2930214,18762,2213148,698304,3130171,9889,2902217,218065,2017,NEW YORK
35,3874346,3313482,2939686,457451,2690975,168759,2020223,26148,174739,3724,560864,2959479,22541,2936938,1843505,291022,2525736,191100,914867,717811,3902,343691,370218,1909516,13812,1431930,463774,1247019,4827,1161317,80875,2017,NORTH CAROLINA
36,311525,271870,247899,40353,217751,10336,167071,1951,10968,270,39655,243260,1826,241434,154880,20569,211457,15434,68265,45110,339,22650,22121,140343,997,105008,34338,126072,490,113776,11806,2017,NORTH DAKOTA
37,4633145,3974014,3520819,610979,3156183,195320,2405887,34363,170630,5544,659131,3605276,31966,3573310,2213566,351936,3063724,219887,1027869,831152,6062,422414,402676,2238176,19532,1691395,527249,1563817,6372,1459501,97944,2017,OHIO
38,1468971,1247216,1054474,158470,1030288,88171,750924,9873,80522,1758,221755,1077717,8524,1069193,713738,168741,807541,109210,391254,275149,1651,131292,142206,737959,5120,530623,202216,455863,1753,407278,46832,2017,OKLAHOMA
39,1571631,1423014,1306876,213842,1140201,49179,865593,8234,56269,1792,148617,1298425,11177,1287248,847357,119825,1088912,97067,273206,254128,2400,150308,101420,740788,6531,593742,140515,576715,2246,543198,31271,2017,OREGON
40,5007442,4244504,3842736,714802,3302016,170186,2533389,34548,187334,5112,762938,3888078,41270,3846808,2303162,283897,3447772,168679,1119364,829739,6987,401078,421674,2293474,24951,1689547,578976,1884229,9332,1756183,118714,2017,PENNSYLVANIA
41,412028,355894,322641,51974,285216,13126,220722,2901,16441,567,56134,331489,1791,329698,201341,23576,300995,9472,80539,71514,413,37263,33838,170149,1037,131921,37191,170365,341,160514,9510,2017,RHODE ISLAND
42,1871307,1575373,1367592,210937,1285450,95674,954449,13187,108280,2378,295934,1366055,10875,1355180,852983,149182,1138254,101658,505252,366172,1958,159936,204278,931106,6763,671457,252886,574029,2154,523787,48088,2017,SOUTH CAROLINA
43,339458,289523,262852,52213,220306,10985,169826,2252,14416,540,49935,259678,2779,256899,152728,23557,219006,17926,79780,53478,436,25223,27819,170069,1498,125903,42668,115911,845,105773,9293,2017,SOUTH DAKOTA
44,2547194,2118574,1838179,291153,1723220,127067,1287706,17292,112542,2270,428620,1860345,15321,1845024,1182008,229475,1514395,140961,686849,494098,3256,219466,271376,1277256,9664,916230,351362,775840,2401,709328,64111,2017,TENNESSEE
45,9430419,8256957,7145807,836272,7047317,527751,5180359,52724,502213,10416,1173462,7288964,47487,7241477,4820274,985397,5804473,667294,2141455,1514894,8974,737541,768379,4328040,26573,3190789,1110678,3587485,11940,3313147,262398,2017,TEXAS
46,938365,877065,816598,90491,746248,26081,582513,3782,37490,601,61300,791428,5940,785488,511542,68842,659101,82461,146937,105351,993,61587,42771,433051,3300,350501,79250,399963,1647,373400,24916,2017,UTAH
47,258535,226558,211774,48366,163475,5183,129675,1853,11149,355,31977,205932,2613,203319,102316,11535,182141,12048,52603,40396,558,21186,18652,120933,1528,92187,27218,97206,527,89946,6733,2017,VERMONT
48,3105636,2750148,2515256,344524,2271709,105044,1744269,15414,154693,3378,355488,2506081,20637,2485444,1640515,234838,2125477,161877,599555,406765,3041,200569,203155,1262342,12177,942321,307844,1436529,5419,1342554,88556,2017,VIRGINIA
49,2755697,2518920,2340527,333684,2064010,75251,1587343,13517,139940,2746,236777,2340307,17261,2323046,1587177,184573,2033016,140962,415390,362626,3287,217079,142260,1175061,9821,950686,214554,1218010,4153,1155281,58576,2017,WASHINGTON
50,737671,588460,514719,113034,437629,29777,334917,7612,28460,965,149211,523624,4950,518674,285504,45107,444126,40212,214047,165562,866,77561,87135,375350,3073,263915,108362,196759,1011,177198,18550,2017,WEST VIRGINIA
51,2328754,2016475,1831368,342038,1564364,80161,1202185,14807,74600,2917,312279,1841073,21229,1819844,1129804,184231,1531932,133803,487681,348410,3345,177935,167130,1127071,13170,848238,265663,853273,4714,793671,54888,2017,WISCONSIN
52,230237,206744,187197,33639,161723,7890,124168,1581,9141,199,23493,183977,1661,182316,100251,18022,144580,21754,46260,31645,202,17433,14010,106898,853,81122,24923,91694,606,83761,7327,2017,WYOMING
2,1852518,1554798,1245790,140077,1332295,200264,933535,24300,38564,479,297720,1391526,8179,1383347,1166710,263739,1035900,131910,460992,414563,1845,204927,207791,888920,4654,671774,212492,549035,1680,506646,40709,2016,ALABAMA
3,248468,233222,205666,17295,207115,15828,158715,2077,16368,20,15246,214498,1496,213002,182949,30103,172359,13427,33970,23912,322,12161,11429,98099,649,80629,16821,126457,525,120212,5720,2016,ALASKA
4,2519052,2286874,2000315,213281,1966129,179811,1461035,22204,84401,923,232178,2103159,9381,2093778,1724879,268490,1711010,211421,415893,423928,2668,264000,157260,1214919,5142,1000610,209167,880205,1571,829168,49466,2016,ARIZONA
5,1142718,966212,762565,93487,829256,132421,556371,10970,21541,248,176506,815047,4423,810624,669322,182438,561581,101107,327671,248028,1019,120357,126652,592116,2847,429909,159360,302574,557,260358,41659,2016,ARKANSAS
6,12944178,11929924,10572790,897342,10586777,800534,8058381,103156,463713,3383,1014254,11092697,37627,11055070,9545123,1244929,9360924,929237,1851481,1810922,8621,1099315,702986,5197473,19385,4289602,888486,5935783,9621,5666153,260009,2016,CALIFORNIA
7,2108992,1974118,1771849,165801,1726683,123465,1288685,15810,59026,636,134874,1842663,9114,1833549,1571596,189005,1551565,164254,266329,269978,1711,172920,95347,917694,5007,780416,132271,921320,2396,880213,38711,2016,COLORADO
8,1357269,1211810,1081363,120363,1019450,64610,817223,19028,48071,397,145459,1147665,5806,1141859,938818,98184,1019864,46782,209604,170464,1095,96922,72447,518649,3036,408852,106761,668156,1675,636085,30396,2016,CONNECTICUT
