9,351085,318508,272267,29663,270033,23459,210152,4351,8446,234,32577,293465,865,292600,235748,26420,256894,14159,57620,46409,344,27087,18978,161417,386,129238,31793,143259,135,136275,6849,2016,DELAWARE
10,281241,252726,217858,15952,229594,22233,168762,2372,6145,46,28515,224807,390,224417,202964,21622,197661,9557,56434,54466,26,27557,26883,85495,273,63718,21504,141280,91,133142,8047,2016,WASHINGTON DC
11,7573456,6826272,5988124,662713,5800434,507340,4359362,83485,266601,1923,747184,6178506,31856,6146650,5042175,747989,5196071,406428,1394950,1317240,6478,774409,536353,3798415,21339,3074791,702285,2457801,4039,2297450,156312,2016,FLORIDA
12,3686135,3299116,2809778,251453,2907714,290489,2169431,37278,102419,752,387019,2984416,11422,2972994,2549569,399250,2446614,259324,701719,645905,2715,362537,280653,1743859,5801,1396041,342017,1296371,2906,1214416,79049,2016,GEORGIA
13,455868,415144,371581,37627,355896,20361,288379,6008,11594,263,40724,380863,1690,379173,324709,36861,334692,15780,75005,53678,357,28220,25101,175552,910,138607,36035,226638,423,212346,13869,2016,HAWAII
14,610872,547865,489548,67237,447234,31539,350464,6613,18022,51,63007,488924,4065,484859,399156,59107,378843,67626,121948,105567,655,59318,45594,313344,2775,249293,61276,191961,635,176248,15078,2016,IDAHO
15,4822046,4299310,3737117,385748,3710144,340064,2778538,49570,147677,1175,522736,3974812,21122,3953690,3365615,531943,3249049,311244,847234,763441,3728,428371,331342,2073918,12727,1646494,414697,1984687,4667,1878825,101195,2016,ILLINOIS
16,2533270,2223654,1890310,235567,1854975,196090,1376746,32914,54737,432,309616,2021282,14508,2006774,1648444,305125,1581682,181925,511988,418841,3110,230920,184811,1282855,8829,998218,275808,831574,2569,777636,51369,2016,INDIANA
17,1247932,1099081,953147,125622,904383,80556,703352,14123,27334,225,148851,1003251,9592,993659,821336,136400,786011,104104,244681,185713,1516,101522,82675,609642,6491,472529,130622,452577,1585,419608,31384,2016,IOWA
18,1110407,982827,852835,108437,824975,77883,620109,10230,29119,575,127580,896594,5214,891380,750977,126230,714007,71179,213813,170231,966,95802,73463,550537,3444,430429,116664,389639,804,365149,23686,2016,KANSAS
19,1717706,1457241,1209594,148813,1215066,141777,924525,26119,43782,759,260465,1335537,7551,1327986,1104776,195026,1059959,109489,382169,378300,1526,197518,179256,834812,5032,655562,174218,504594,993,474906,28695,2016,KENTUCKY
20,1720801,1453678,1159714,117105,1276748,191208,850684,17808,41723,486,267123,1285278,5529,1279749,1069023,212511,989014,131784,435523,405623,1342,203340,200941,801920,2907,604183,194830,513258,1280,472226,39752,2016,LOUISIANA
21,531660,472143,422580,71317,357700,21873,299112,9181,11856,127,59517,434316,5204,429112,324957,39805,371120,23067,97344,92436,790,52690,38956,258663,3671,205476,49516,180561,743,170946,8872,2016,MAINE
22,2194657,2013804,1807901,171124,1746857,118222,1382532,19881,89994,463,180853,1889858,7149,1882709,1627875,199591,1629909,99493,304799,246486,1125,144300,101061,802941,3938,645138,153865,1145230,2086,1093271,49873,2016,MARYLAND
23,2579398,2340065,2111531,234315,1975646,119952,1564765,30990,71896,1134,239333,2214072,8346,2205726,1843071,183354,1981553,67285,365326,361267,2033,213748,145486,924081,4399,752027,167655,1294050,1914,1239951,52185,2016,MASSACHUSETTS
24,3884153,3432208,2935637,355375,2865065,289845,2190785,52633,93982,1313,451945,3144755,18829,3125926,2578998,434153,2521344,245965,739398,679137,3511,386368,289258,1877379,12137,1484158,381084,1327637,3181,1255400,69056,2016,MICHIGAN
25,2148725,1937141,1735392,204357,1623264,101565,1294922,25798,54300,525,211584,1808477,14165,1794312,1516618,212339,1486990,146753,340248,273617,2424,152616,118577,937123,8437,753792,174894,937985,3304,887904,46777,2016,MINNESOTA
26,1091245,895804,687424,68408,790943,143384,504601,10926,34059,48,195441,776361,5279,771082,653068,193335,502297,99340,314884,271466,1021,124255,146190,532588,2958,385099,144531,287191,1300,261728,24163,2016,MISSISSIPPI
27,2372190,2084516,1774287,217451,1758844,191398,1289558,25959,45368,783,287674,1892465,11723,1880742,1583511,287577,1466319,183795,479725,407053,2932,221562,182559,1181598,7265,927940,246393,783539,1526,731240,50773,2016,MISSOURI
28,416125,365158,325736,53603,282247,20850,220613,6033,8342,33,50967,331897,3765,328132,246617,36726,265284,34446,84228,73850,1096,40950,31804,211581,1709,167900,41972,130694,960,119282,10452,2016,MONTANA
29,747562,662504,582172,71381,552460,43828,435291,8486,15960,141,85058,614925,5075,609850,510467,78707,498007,48182,132637,110144,806,62584,46754,362922,3113,289801,70008,274496,1156,257465,15875,2016,NEBRASKA
30,1055158,959855,826042,81536,838112,81374,606762,7646,39101,248,95303,857669,4263,853406,694621,111804,710291,71881,197489,164370,498,96616,67256,521165,2961,412607,105597,369623,804,344183,24636,2016,NEVADA
31,520643,480581,439122,60989,383989,21407,322397,6911,14772,56,40062,452566,2589,449977,362136,35278,403307,18381,68077,55013,342,31449,23222,219837,1632,182577,35628,245793,615,235951,9227,2016,NEW HAMPSHIRE
32,3194519,2897084,2603516,252852,2514871,166650,1962976,30858,96411,590,297435,2702697,11696,2691001,2286519,252966,2387512,111996,491822,412226,2067,234489,175670,1164196,5932,917899,240365,1618097,3697,1538613,75787,2016,NEW JERSEY
33,758364,642966,535950,67444,539650,67602,395945,7044,25350,270,115398,563565,4361,559204,444442,89982,430329,62450,194799,165938,432,82651,82855,366271,2963,270867,92441,226155,966,205686,19503,2016,NEW MEXICO
34,7209054,6397985,5637350,617208,5423059,415143,4184623,88601,266280,2498,811069,5917689,30129,5887560,4728123,632321,5101114,278312,1291365,1218475,6111,692486,519878,2878688,16669,2274200,587819,3111891,7349,2920874,183668,2016,NEW YORK
35,3882423,3418769,2925999,320056,2921397,302187,2184769,42528,112739,924,463654,3082142,16904,3065238,2521823,385433,2554426,228867,800281,720404,2858,379811,337735,1908590,10795,1506809,390986,1253429,3251,1178618,71560,2016,NORTH CAROLINA
36,315134,281090,247690,30009,234720,18290,181885,4344,7251,19,34044,257547,1038,256509,214818,26291,221456,15751,57587,46555,125,25028,21402,143562,610,115603,27349,125017,303,115878,8836,2016,NORTH DAKOTA
37,4624669,4062959,3465215,427463,3379945,343772,2614395,60474,103793,1611,561710,3765278,24916,3740362,3070023,463522,3117768,260068,859391,829908,4875,478263,346770,2237038,15343,1789051,432644,1557723,4698,1473048,79977,2016,OHIO
38,1469342,1282684,1032161,108564,1121603,160123,768647,16229,38989,526,186658,1139307,5399,1133908,964446,227348,818701,114999,330035,283469,1273,154549,127647,732444,2701,562770,166973,453429,1425,416589,35415,2016,OKLAHOMA
39,1571678,1441470,1288600,153435,1210104,81082,944184,15812,41200,638,130208,1343419,9072,1334347,1126095,147676,1109585,111756,228259,235431,1839,150607,82985,744159,5906,620807,117446,592088,1327,562933,27828,2016,OREGON
40,4937771,4290752,3750502,512513,3493538,299575,2737697,66179,133081,916,647019,4001649,29140,3972509,3247854,434916,3413403,191575,936122,796744,5928,424494,366322,2282238,17682,1787317,477239,1858789,5530,1760698,92561,2016,PENNSYLVANIA
41,408239,359106,314115,35942,299101,24912,241066,5504,10703,120,49133,338925,782,338143,280609,33785,299070,10881,69314,70406,78,39909,30419,172841,473,140974,31394,164992,231,157260,7501,2016,RHODE ISLAND
42,1877887,1634787,1357542,141069,1400178,172170,1020901,23105,75141,588,243100,1452924,6677,1446247,1222526,228896,1154847,117910,424963,358597,1384,177024,180189,931798,4243,722683,204872,587492,1050,546540,39902,2016,SOUTH CAROLINA
43,334003,292734,257562,33187,238273,18110,187695,3797,8177,146,41269,267722,2138,265584,209750,29302,224179,18453,66281,52840,652,27376,24812,166898,1082,131703,34113,114265,404,106505,7356,2016,SOUTH DAKOTA
44,2556332,2185600,1823458,208796,1861387,228901,1375918,28861,81805,819,370732,1970419,9672,1960747,1637927,321852,1538034,172147,585913,484262,1802,244222,238238,1293222,6526,991294,295402,778848,1344,725231,52273,2016,TENNESSEE
45,9535612,8579892,7121066,567978,7717881,969920,5423782,76284,343938,2080,955720,7707876,27324,7680552,6603586,1272899,5977754,749629,1827736,1505726,4480,817722,683524,4426271,15219,3485838,925214,3603615,7625,3376992,218998,2016,TEXAS
46,943147,890886,811691,64772,787690,46595,635850,6062,27775,222,52261,808884,3609,805275,685974,83501,665491,99361,134263,102107,776,62327,39004,436658,2411,363507,70740,404382,422,379441,24519,2016,UTAH
47,254851,227457,207352,38570,168231,9417,139827,4112,5931,0,27394,209394,2602,206792,143830,17591,178638,12983,45457,41224,591,23002,17631,116931,1570,93267,22094,96696,441,90523,5732,2016,VERMONT
48,3120692,2824934,2507010,253507,2434642,193905,1900213,26868,101408,681,295758,2617707,14574,2603133,2242413,321566,2152463,194972,502985,415006,1952,229239,183815,1271927,8887,1017547,245493,1433759,3735,1356347,73677,2016,VIRGINIA
49,2768076,2574874,2333072,243745,2202914,130040,1743306,23999,86782,921,193202,2431924,12174,2419750,2088819,231590,2091441,154665,336152,352225,2146,231288,118791,1170238,7152,989101,173985,1245613,2876,1199361,43376,2016,WASHINGTON
50,722125,596325,499485,79008,464871,46725,373211,15131,11859,202,125800,538877,2997,535880,392304,60107,446773,44789,183248,164098,515,85117,78466,363077,1879,272001,89197,194950,603,178762,15585,2016,WEST VIRGINIA
51,2326998,2056586,1804508,241808,1671058,143773,1316298,28568,57215,1005,270412,1909683,17952,1891731,1560070,233424,1548570,159768,417315,348339,2913,196764,148662,1119324,11446,885669,222209,859335,3593,809298,46444,2016,WISCONSIN
52,223619,203007,177962,22243,168571,12874,130316,2159,5273,0,20612,187433,1293,186140,138487,22618,146296,20282,36186,32676,244,18799,13633,104729,760,87028,16941,86214,289,80313,5612,2016,WYOMING
2,1846390,1492641,1270469,213456,1268465,209412,102632,4406,353749,1271411,10978,1260433,268187,631827,158733,558562,61316,65333,574979,421076,2467,177988,240621,907973,6234,618469,283270,517341,2277,463976,51088,2015,ALABAMA
3,250185,231202,209445,24698,204587,18735,33142,402,18983,205582,1197,204385,49100,127380,24821,96958,3374,6381,44603,26856,76,14466,12314,100741,675,77416,22650,122588,446,112503,9639,2015,ALASKA
4,2463008,2158795,1948232,287226,1858643,200534,125626,2840,304213,1934229,10945,1923284,309953,973372,171219,1099473,48374,96916,528779,431615,1776,223967,205872,1223271,6886,948711,267674,808122,2283,750606,55233,2015,ARIZONA
5,1144663,931367,789136,132369,791861,132895,66708,2534,213296,744165,9490,734675,175422,351301,109358,292760,36494,59208,400498,259127,2424,104188,152515,597841,4919,383951,208971,287695,2147,246536,39012,2015,ARKANSAS
6,12896357,11567258,10543576,1179849,10292437,923058,1208793,27202,1329099,10552961,67903,10485058,1808042,5626768,791820,5548668,830724,356293,2343396,1893023,13762,1043511,835750,5343901,33709,4138357,1171835,5659433,20432,5303190,335811,2015,CALIFORNIA
7,2074735,1898146,1762319,209437,1679951,126016,122448,3056,176589,1733731,12597,1721134,392211,896472,122751,894591,40991,81589,341004,264060,2303,151725,110032,924855,7666,731497,185692,885820,2628,837912,45280,2015,COLORADO
8,1343703,1189840,1100683,164650,1015452,81307,106329,2987,153863,1108097,6106,1101991,151171,521893,40277,757761,31506,16262,235606,181948,713,94070,87165,516659,3348,400158,113153,645096,2045,607763,35288,2015,CONNECTICUT
9,352595,307942,277528,42543,263203,27805,23040,1406,44653,275024,2096,272928,21521,118275,15275,138539,63815,5215,77571,45653,531,23111,22011,163325,1082,118793,43450,143617,483,131024,12110,2015,DELAWARE
10,281787,251674,229253,20811,229528,21494,15904,383,30113,217466,1181,216285,26318,116973,11751,130138,24182,4607,64321,47289,74,21488,25727,92487,727,65342,26418,142011,380,129455,12176,2015,WASHINGTON DC
11,7463184,6533691,5929598,943153,5537356,549931,494313,17390,929493,5823194,40830,5782364,797265,2628343,335239,3433013,457923,119334,1639990,1360052,9423,717053,633576,3785051,24247,2929841,830963,2318081,7160,2135470,175451,2015,FLORIDA
12,3656407,3171504,2820952,354461,2795850,324564,261296,5886,484903,2749795,15270,2734525,649238,1348855,220393,1339372,121666,89692,906612,677462,3015,316867,357580,1765843,8845,1299291,457707,1213102,3410,1118367,91325,2015,GEORGIA
13,445936,397193,367440,45129,349855,27300,23471,527,48743,368594,2152,366442,38508,209904,21843,255745,10991,5198,77342,53022,136,28841,24045,173435,1062,133981,38392,219479,954,203620,14905,2015,HAWAII
14,597421,532619,487424,85587,443529,43049,23560,935,64802,463564,5634,457930,131183,231321,50620,186278,10963,42799,133857,111476,613,60359,50504,309808,3673,235206,70929,176137,1348,162365,12424,2015,IDAHO
15,4794523,4136476,3733845,516547,3585560,363682,349215,10916,658047,3715784,26886,3688898,633077,2016508,320492,2098939,132338,130529,1078739,761107,3301,366106,391700,2120912,14875,1556715,549322,1912504,8710,1766077,137717,2015,ILLINOIS
16,2515143,2138978,1907376,324153,1798206,215771,135906,5925,376165,1862137,19117,1843020,358030,867208,179351,890386,151838,92649,653006,434082,3027,201213,229842,1292654,11432,924861,356361,788407,4658,716946,66803,2015,INDIANA
17,1247249,1068405,970062,162602,893460,90062,60596,4306,178844,947969,12463,935506,232043,448417,90093,399906,62691,56314,299280,197733,1834,96427,99472,622479,7504,453070,161905,427037,3125,386009,37903,2015,IOWA
18,1111582,956275,859288,135343,816947,92164,41364,1459,155307,853698,6445,847253,134782,431759,77802,431120,77557,41400,257884,177376,842,86352,90182,547840,4221,402729,140890,386366,1382,358172,26812,2015,KANSAS
19,1716168,1409686,1234486,210547,1188744,164781,83347,3312,306482,1228449,12460,1215989,279907,608544,103989,574106,67008,59030,487719,379457,1992,169638,207827,861563,8115,616028,237420,475148,2353,430323,42472,2015,KENTUCKY
20,1737908,1404473,1199041,164026,1229283,197043,107295,2291,333435,1203928,10275,1193653,214652,537815,116254,582915,73418,64088,533980,406935,2098,163911,240926,800879,5243,555142,240494,530094,2934,474600,52560,2015,LOUISIANA
21,545226,473574,443093,99048,370093,26867,28999,1442,71652,425652,5052,420600,92911,171981,22589,254161,5908,11735,119574,103693,1212,50465,52016,267222,2971,207535,56716,174311,869,162600,10842,2015,MAINE
22,2177934,1957992,1809020,219972,1723181,135376,187540,3066,219942,1784615,11608,1773007,147622,895777,99291,829826,438384,34257,393319,245122,1634,123863,119625,831432,6549,622359,202524,1101380,3425,1026785,71170,2015,MARYLAND
23,2559951,2277721,2125714,298686,1961366,135558,179646,5396,282230,2126375,11595,2114780,164198,1070740,90561,1350300,283917,20404,433576,384814,2348,209738,172728,955809,6105,746419,203285,1219328,3142,1158623,57563,2015,MASSACHUSETTS
24,3858532,3326244,2982298,477981,2824322,320673,190818,9282,532288,2895117,22942,2872175,381676,1372523,239238,1782506,89905,133269,963415,702124,4681,333801,363642,1902299,14488,1394992,492819,1254109,3773,1143382,106954,2015,MICHIGAN
25,2147262,1916415,1774272,250961,1651838,129298,113783,4758,230847,1726200,18594,1707606,384562,884344,132816,889263,71013,74257,421062,279793,3170,141246,135377,965305,10732,726536,228037,902164,4692,839824,57648,2015,MINNESOTA
26,1104371,864917,702262,104942,755671,155231,51048,1743,239454,679574,6218,673356,174795,316444,104356,222414,32736,57781,424797,284353,1489,102947,179917,546391,3683,337094,205614,273627,1046,233315,39266,2015,MISSISSIPPI
27,2374180,2024969,1796075,292862,1717063,212510,140113,4871,349211,1757244,17541,1739703,417474,864386,177868,717820,165505,100081,616936,429327,3439,197966,227922,1195038,9930,859840,325268,749815,4172,681897,63746,2015,MISSOURI
28,414804,357019,328069,69424,284974,27526,15112,1015,57785,315415,4518,310897,88560,134859,26449,124010,13421,23575,99389,75782,730,36757,38295,214807,3143,160873,50791,124215,645,113267,10303,2015,MONTANA
29,744159,645386,586839,95978,545036,53712,45071,1510,98773,585758,4425,581333,101095,272371,50998,319082,28388,28221,158401,115514,719,58379,56416,365333,2228,278471,84634,263312,1478,244483,17351,2015,NEBRASKA
30,1042065,935240,832818,114593,807388,92697,85182,1774,106825,828740,5241,823499,118651,400444,63114,486244,26663,30678,213325,165803,755,87700,77348,526962,3722,412932,110308,349300,764,322867,25669,2015,NEVADA
31,517615,471704,445583,92642,375253,23024,36574,1126,45911,439599,2421,437178,58966,191773,17199,309684,14458,9096,78016,58836,255,32680,25901,215119,1602,171474,42043,243660,564,233024,10072,2015,NEW HAMPSHIRE
32,3187963,2807574,2590826,329896,2457797,189465,215729,10080,380389,2612731,12432,2600299,159962,1189323,91252,1575787,503674,30456,575232,421547,2174,215490,203883,1212967,6482,918730,287755,1553449,3776,1466079,83594,2015,NEW JERSEY
33,761797,615841,541549,90487,518558,70337,39357,1695,145956,519133,7057,512076,147037,247969,61955,200378,12643,32024,242664,172410,1400,71360,99650,369400,3402,247613,118385,219987,2255,193103,24629,2015,NEW MEXICO
34,7233694,6265912,5752761,861481,5350754,452590,627230,19433,967782,5659733,28845,5630888,389156,2387314,226120,3469405,826220,88444,1573961,1273049,5212,644200,623637,2963509,15544,2223713,724252,2997136,8089,2762975,226072,2015,NEW YORK
35,3843745,3270209,2910512,433845,2811189,332195,253993,7738,573536,2867878,19066,2848812,542840,1412791,228245,1636521,104287,87141,975867,748197,3493,341822,402882,1920583,11005,1417491,492087,1174965,4568,1089499,80898,2015,NORTH CAROLINA
36,313475,270077,248513,39874,228991,20040,14043,528,43398,240971,1677,239294,34345,117690,16478,113076,28401,8281,72504,45909,127,21450,24332,141194,1107,103441,36646,126372,443,114403,11526,2015,NORTH DAKOTA
37,4606655,3940069,3517056,583375,3330837,390938,248050,10620,666586,3529050,24663,3504387,551182,1697281,310158,2001576,199396,117192,1077605,846416,5198,412486,428732,2256518,15228,1692891,548399,1503721,4237,1399010,100474,2015,OHIO
38,1465951,1230324,1051396,148712,1073683,161921,122962,2480,235627,1043497,5942,1037555,207250,573106,144966,462380,49711,82733,422454,282714,1392,127213,154109,744064,3583,522494,217987,439173,967,387848,50358,2015,OKLAHOMA
39,1553205,1408415,1303663,206663,1193061,97755,76113,3106,144790,1266413,11294,1255119,218487,690907,105044,675094,84099,62220,286792,259456,2140,150371,106945,749775,6065,595461,148249,543974,3089,509287,31598,2015,OREGON
40,4956037,4190794,3833679,691078,3466390,331541,275806,8633,765243,3789173,39130,3750043,575802,1738658,209078,2066141,491452,78004,1166864,831971,7178,394260,430533,2310832,22962,1676015,611855,1813234,8990,1679768,124476,2015,PENNSYLVANIA
41,407484,352538,319120,51870,298638,30677,22477,571,54946,321064,2416,318648,14646,153975,19376,173701,74681,3748,86420,74193,967,35941,37285,171579,1250,130172,40157,161712,199,152535,8978,2015,RHODE ISLAND
42,1857768,1549918,1356582,196941,1338716,174381,167393,4026,307850,1308515,9546,1298969,230419,632567,110879,677232,66890,46757,549253,375496,1883,153584,220029,940419,5409,658795,276215,541853,2254,486590,53009,2015,SOUTH CAROLINA
43,339437,288536,261804,50474,235738,24664,18003,1164,50901,257699,2169,255530,37936,119577,21535,129718,22490,12803,81738,55027,317,25286,29424,172022,1173,128492,42357,112388,679,101752,9957,2015,SOUTH DAKOTA
44,2530260,2084955,1826411,274676,1797840,241062,165094,3599,445305,1788903,13196,1775707,300811,893870,170997,911815,138661,78619,741357,503082,2064,206780,294238,1289431,9168,906500,373763,737747,1964,662427,73356,2015,TENNESSEE
45,9421412,8164910,7111157,823420,7268121,992334,665727,15137,1256502,7041311,43191,6998120,1194067,3664218,871357,3083317,661815,361266,2380101,1528342,7731,692727,827884,4419325,24422,3131287,1263616,3473745,11038,3174106,288601,2015,TEXAS
46,930980,867777,802436,81468,782844,62699,43803,750,63203,779825,6169,773656,177112,416903,66990,356622,47600,49203,151155,107234,1127,62752,43355,444144,3579,357445,83120,379602,1463,353459,24680,2015,UTAH
47,254865,221855,209866,47331,171928,9966,14996,814,33010,202770,2250,200520,64612,75224,8804,96636,8258,6540,52095,39764,458,20834,18472,120211,1055,91022,28134,94890,737,88664,5489,2015,VERMONT
48,3106895,2741793,2516436,321620,2399576,210064,196323,5158,365102,2459458,17151,2442307,270767,1291710,180024,1132027,506678,94957,647437,417863,2462,198135,217266,1303422,9455,955799,338168,1385610,5234,1288373,92003,2015,VIRGINIA
49,2728573,2494678,2334092,309223,2170960,141632,186775,4848,233895,2303347,14013,2289334,353589,1298241,167748,1387617,111926,80187,425226,362354,3011,215049,144294,1196616,7302,967483,221831,1169603,3700,1106802,59101,2015,WASHINGTON
50,734536,584679,520431,111948,464527,59966,47773,1554,149857,516488,4052,512436,117279,217643,34700,277393,7119,25645,218048,172165,1003,78667,92495,377643,2155,266983,108505,184728,894,166786,17048,2015,WEST VIRGINIA
51,2319538,2003599,1829055,327570,1662185,163545,92372,5146,315939,1801019,17157,1783862,360056,876758,166811,938974,84446,75551,518519,345737,2537,169979,173221,1151793,10668,857681,283444,822008,3952,756202,61854,2015,WISCONSIN
52,228937,205681,188496,30396,173837,16566,11428,422,23256,180263,2080,178183,38009,67530,14714,84207,7671,18056,48674,31800,69,17066,14665,106422,1373,78465,26584,90715,638,82652,7425,2015,WYOMING
