Who are most often the traffickers?,Are you actively engaged in fighting human trafficking?
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Family,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Kidnapper / stranger,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
Foster system,No
"Friend, acquaintance, or someone else known to and/or trusted by the victim",No
"Wealthy, powerful, global elite, 1%, people above the law",No
"Wealthy, powerful, global elite, 1%, people above the law",No
"Wealthy, powerful, global elite, 1%, people above the law",No
"Wealthy, powerful, global elite, 1%, people above the law",No
"Wealthy, powerful, global elite, 1%, people above the law",No
Mafia,No
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Family,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Kidnapper / stranger,Yes
Foster system,Yes
Foster system,Yes
Foster system,Yes
Foster system,Yes
Foster system,Yes
Foster system,Yes
Foster system,Yes
Foster system,Yes
Foster system,Yes
"Friend, acquaintance, or someone else known to and/or trusted by the victim",Yes
"Friend, acquaintance, or someone else known to and/or trusted by the victim",Yes
"Friend, acquaintance, or someone else known to and/or trusted by the victim",Yes
"Friend, acquaintance, or someone else known to and/or trusted by the victim",Yes
"Friend, acquaintance, or someone else known to and/or trusted by the victim",Yes
"Friend, acquaintance, or someone else known to and/or trusted by the victim",Yes
Government,Yes
Government,Yes
"Wealthy, powerful, global elite, 1%, people above the law",Yes
"Wealthy, powerful, global elite, 1%, people above the law",Yes
"Wealthy, powerful, global elite, 1%, people above the law",Yes
"Wealthy, powerful, global elite, 1%, people above the law",Yes
"Wealthy, powerful, global elite, 1%, people above the law",Yes
Intimate partner,Yes
Drug dealer,Yes
"Manipulators, opportunists",Yes
"Manipulators, opportunists",Yes
"Manipulators, opportunists",Yes
"Manipulators, opportunists",Yes